steam_appid,name,metacritic,steam_achievements,steam_trading_cards,workshop_support,genres,achievements_total,release_date,supported_platforms
1892370,Riding to Bounce City,,True,False,False,"Action, Casual, Indie, Racing, Free To Play",35.0,"Sep 15, 2022",['windows']
1892430,VillageBlade,,False,False,False,"Adventure, Casual, Indie, Strategy",,"Feb 16, 2022",['windows']
1891940,Dr. Science quest,,False,False,False,Indie,,"Feb 24, 2022",['windows']
1890590,SUPER NANARU,,False,False,False,"Action, Adventure, Casual, Indie",24.0,"Mar 23, 2022",['windows']
1889890,Shinehill,,True,False,False,"Adventure, Casual, Indie, RPG, Simulation, Early Access",42.0,"Sep 18, 2024",['windows']
1889920,The Prison,,False,False,False,"Action, Indie, Massively Multiplayer, RPG, Free To Play, Early Access",,"Jul 26, 2024","['windows', 'linux']"
1888620,Save The Bear Cubs,,False,False,False,"Adventure, Casual, Indie",,"Feb 23, 2022",['windows']
1888740,DELAY SIMULATOR / ゲーミングハード技能検定,,True,False,False,"Action, Indie",14.0,"May 13, 2022",['windows']
1888750,PATIENT,,False,False,False,"Adventure, Indie",6.0,"Jun 1, 2022",['windows']
1888270,Lazerball,,True,False,False,"Action, Indie, Sports",12.0,"Dec 9, 2022",['windows']
1888000,Bloody Rampage City,,True,False,False,"Action, Indie",5.0,"Feb 24, 2022",['windows']
1887420,The Lost Oregon City Gold,,True,False,False,"Adventure, Casual, Indie",15.0,"Apr 12, 2022","['windows', 'mac', 'linux']"
1887490,Dymension:Scary Horror Survival Shooter,,False,False,False,"Action, Adventure, Indie",,"Mar 3, 2022",['windows']
1887050,Nachkriegsratten Punk-Rock Puzzle,,True,False,False,"Casual, Indie",77.0,"Jun 1, 2022","['windows', 'mac', 'linux']"
1886170,The Final Hour,,False,False,False,"Action, Adventure, Early Access",,"Mar 18, 2022",['windows']
1886420,Break It,,False,False,False,"Casual, Indie",10.0,"May 10, 2022",['windows']
1885520,Welcome to Albion!,,False,False,False,"Adventure, Indie",,"Jun 17, 2022",['windows']
1885530,My Kindergarten Learning Adventure,,False,False,False,"Adventure, Casual",,"Mar 13, 2022",['windows']
1884890,Pieces of Beauty 3,,False,False,False,Casual,42.0,"Feb 13, 2022",['windows']
1885010,Hidden Ghost Town 2,,True,False,False,"Action, Casual, Indie, Simulation, Strategy",6.0,"Feb 7, 2022","['windows', 'mac', 'linux']"
1885080,Ark Defender,,True,False,False,"Action, Indie, Simulation, Strategy",24.0,"Jul 11, 2022",['windows']
1883800,The Magical Mixture Mill,,False,False,False,"Adventure, Casual, Indie, Simulation",50.0,"Mar 27, 2024",['windows']
1883840,Ocean Punk,,True,False,True,"Adventure, Indie, RPG, Simulation, Strategy",57.0,"Apr 26, 2024",['windows']
1883670,Race On Ice 2022 Pro,,False,False,True,"Indie, Racing, Sports",,"Feb 28, 2022","['windows', 'mac', 'linux']"
1882750,Cluck,,True,False,False,"Action, Indie, Early Access",26.0,"May 12, 2023",['windows']
1881800,CatNab,,True,False,False,"Casual, Free To Play, Indie",6.0,"Mar 14, 2022",['windows']
1880770,REAL LIFE OF SOLDIERS,,False,False,False,"Casual, Indie",,"Feb 18, 2022",['windows']
1880980,Trapped In Stone - World War II Horror,,True,False,False,Action,2.0,"Mar 2, 2022",['windows']
1880420,DoDodge2020,,True,False,False,"Casual, Indie",5.0,"Jul 25, 2022",['windows']
1880470,The Inquisitor,,True,True,False,"Action, Adventure",41.0,"Feb 8, 2024",['windows']
1880280,Gods Of Isekai,,False,False,False,"Free To Play, Massively Multiplayer",,"Feb 10, 2022",['windows']
1879100,The Mystery Fountain in Space,,False,False,False,"Action, Adventure, Free To Play, Indie",,"Feb 15, 2022",['windows']
1878770,ASCIILL,,True,False,False,"Action, Adventure, Strategy",29.0,"Feb 25, 2022",['windows']
1878070,Roma Invicta,,False,False,True,Strategy,,"Feb 11, 2022","['windows', 'mac', 'linux']"
1878200,Village RPG,,False,False,False,Adventure,,"Jan 31, 2022",['windows']
1878210,Pirate Jam,,True,False,True,"Casual, Indie, Strategy, Free To Play",6.0,"Feb 16, 2022",['windows']
1877790,Armchair Racer,,False,False,False,Racing,,"Feb 8, 2022",['windows']
1877850,Project Cartaphilus,,False,False,False,"Adventure, Casual, Indie",,"Sep 30, 2023",['windows']
1877410,Fairy Deer,,False,False,False,"Casual, Indie",,"Dec 29, 2022","['windows', 'mac', 'linux']"
1876590,I Am Your Beast,,True,False,False,Action,31.0,"Sep 10, 2024",['windows']
1876460,Salty Hounds,,False,False,False,"Adventure, Casual, Indie, Simulation, Strategy, Early Access",,"Jun 27, 2023",['windows']
1875720,Zoo Tales,,False,False,False,"Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy",2.0,"Apr 14, 2022",['windows']
1875750,FemDomination 2,,False,False,False,"Adventure, Casual, Simulation",,"Feb 13, 2022",['windows']
1875850,Reds Adventure A Seasons New Beginning,,False,False,False,"Adventure, Casual, Indie",,"Feb 4, 2022",['windows']
1875100,Crackin' Smackin,,True,False,False,"Action, Casual, Indie, Free To Play",27.0,"Jun 7, 2024",['windows']
1875380,Shrine of Tails,,False,False,False,"Adventure, Indie, RPG, Simulation",,"Nov 4, 2022",['windows']
1874680,Tower Words,,True,False,False,"Casual, Indie",14.0,"Apr 7, 2022","['windows', 'linux']"
1874840,RUNNER RTX,,False,False,False,"Casual, Indie",,"Feb 9, 2022",['windows']
1874990,Fluids & Sounds: Mind relaxing and meditative,,False,False,False,Simulation,,"Feb 3, 2022",['windows']
1873870,IDEA,,False,False,False,Indie,,"Mar 9, 2023","['windows', 'mac']"
1873960,Dungeon Crawler,,False,False,False,"Casual, Indie, RPG, Strategy",87.0,"Feb 25, 2022",['windows']
1874060,Blobbs: Remastered,,True,False,True,"Casual, Free To Play",65.0,"Jul 11, 2022","['windows', 'mac']"
1873180,Detective Agency,,False,False,False,"Adventure, Casual",,"Feb 3, 2022",['windows']
1872740,你画我拼You draw I puzzle,,False,False,False,"Casual, Free To Play, Indie",,"Feb 21, 2022",['windows']
1871310,Hook 2,,True,True,False,Casual,1.0,"Jun 29, 2022","['windows', 'mac', 'linux']"
1870930,Atlas Ablaze,,False,False,False,"Indie, RPG",,"Oct 4, 2024",['windows']
1870660,(Dis)assemble,,False,False,False,"Casual, Strategy",,"Sep 25, 2023",['windows']
1868280,Coins Collector Simulator,,False,False,False,"Casual, Racing, Simulation, Sports, Strategy",,"Feb 4, 2022",['windows']
1867260,Way Down,,True,False,False,"Action, Adventure",28.0,"Feb 28, 2022",['windows']
1866670,赋灵牌,,True,False,False,"Casual, Indie, RPG, Strategy",12.0,"Jan 27, 2022",['windows']
1865880,Dungeon & Burglar,,False,False,False,"Action, Casual",22.0,"Apr 11, 2022",['windows']
1865890,Creature Hunter,,True,False,False,"Action, Adventure, Indie, RPG",15.0,"Mar 23, 2023","['windows', 'mac', 'linux']"
1866120,Heartwood Heroes,,False,False,True,"Casual, Indie, RPG, Strategy",12.0,"Mar 27, 2023",['windows']
1865750,Faye Falling,,True,False,False,"Adventure, Indie, RPG",32.0,"Jul 19, 2024",['windows']
1864320,Race! Beauty! Bugs!,,False,False,False,"Action, Casual, Indie, Racing, Simulation",,"Jan 18, 2022",['windows']
1864460,Room Prison,,False,False,False,"Adventure, Indie, RPG, Simulation",,"Jan 21, 2022",['windows']
1864590,枝江第一舞斗会,,False,False,False,"Action, Casual, Free To Play, Indie, RPG",,"Jul 25, 2022",['windows']
1863980,Tor-tor cubes,,False,False,False,"Action, Casual",,"Jan 18, 2022",['windows']
1864180,Rolling Valley,,False,False,False,"Casual, Free To Play, Indie, Strategy, Early Access",34.0,"Feb 16, 2022",['windows']
1862940,Tetris for Two,,False,False,False,"Casual, Free To Play",,"Jan 25, 2022","['windows', 'linux']"
1862020,HoverRace,,False,False,False,Racing,,"Feb 7, 2022",['windows']
1861760,SAMURAI CHALLENGE,,False,False,False,"Action, Casual",,"Mar 29, 2022",['windows']
1861830,MoonWool,,True,False,False,"Adventure, Casual, Indie, Simulation",20.0,"Jun 19, 2023",['windows']
1861090,Dire Destiny : Time Travel,,False,False,False,"RPG, Strategy, Free To Play",,"Apr 17, 2023",['windows']
1860370,Weapons Simulator,,True,False,False,"Casual, Indie, Simulation",12.0,"Feb 27, 2022",['windows']
1860760,SUKEBE BLOCKS,,False,False,False,"Casual, Indie",7.0,"Mar 2, 2022",['windows']
1859800,The Hierophant,,True,False,False,"Action, Adventure, Casual, Indie, RPG",16.0,"Feb 2, 2022",['windows']
1858920,DRAGON NINJA BYOKA,,True,False,False,"Action, Adventure, Indie",12.0,"May 5, 2022",['windows']
1859080,1001 Jigsaw. Earth Chronicles 6,,False,False,False,Casual,,"Oct 19, 2023",['windows']
1859110,Holiday Jigsaw Christmas,,False,False,False,Casual,,"Mar 17, 2022",['windows']
1859370,Dream House Days DX,,True,False,False,"Casual, Indie, Simulation, Strategy",6.0,"Mar 27, 2022",['windows']
1857980,The Paper Game,,False,False,False,"Casual, Indie, Simulation",46.0,"Jun 21, 2022",['windows']
1857580,Get Achievements for Achievements,,True,False,False,"Action, Adventure, Indie",100.0,"Mar 1, 2022",['windows']
1856850,TukTuk,,True,False,False,"Action, Indie",18.0,"Apr 15, 2022",['windows']
1855950,Leningrad,,False,False,False,"Adventure, Indie, RPG",,"Jan 31, 2022",['windows']
1854910,The Soul Box,,False,False,False,"Casual, Indie",,"May 23, 2022",['windows']
1853760,Frogmonster,,True,False,False,"Action, Adventure, Indie",36.0,"Apr 2, 2024",['windows']
1854180,Nociception ~ Voltaic Marketplace,,False,False,False,"Action, Casual, Indie, Free To Play",,"Nov 10, 2023",['windows']
1853140,Who Is Zombie,,True,False,False,"Casual, Indie, Simulation",10.0,"Feb 23, 2022",['windows']
1852380,MAGICAL DEATHPAIR,,False,False,False,Adventure,,"Jan 10, 2022",['windows']
1852100,Wrong train,,False,False,False,"Action, Adventure, Indie",,"Jan 5, 2022",['windows']
1851840,Kitsune Battlemage,,False,False,False,"Action, Indie, RPG, Early Access",2.0,"Apr 26, 2023",['windows']
1851190,DEITY SOULS Plus,,False,False,False,"Action, Adventure, Indie, RPG",,"Feb 13, 2022",['windows']
1851380,Happy's Humble Burger Barn,,False,False,False,"Action, Adventure, Indie, Simulation, Free To Play",,"Dec 28, 2021",['windows']
1851410,Trigger Dungeon,,True,False,False,"Action, Indie",11.0,"Jan 18, 2022",['windows']
1850570,DEATH STRANDING DIRECTOR'S CUT,85.0,True,True,False,"Action, Adventure",63.0,"Mar 30, 2022",['windows']
1850620,PenBall,,False,False,False,"Casual, Indie, Simulation, Sports",,"Jan 4, 2022",['windows']
1850790,Would you like to run an idol café? 3,,True,False,False,Simulation,18.0,"May 9, 2022","['windows', 'linux']"
1850860,A Fungus In My Garden,,False,False,False,"Action, Indie",33.0,"May 20, 2022",['windows']
1850480,Cut,,False,False,False,Indie,,"Jan 14, 2022",['windows']
1849890,Neko Maid,,True,True,False,"Casual, Indie",24.0,"Feb 11, 2022",['windows']
1850020,BEN’S WORLD,,False,False,False,"Adventure, Casual, Free To Play, Indie",,"May 6, 2023",['windows']
1849380,Levitation Simulator,,False,False,False,Simulation,,"Jan 27, 2022",['windows']
1848380,Era Dream : Rose,,False,False,False,"Action, Adventure, Casual, Indie, Strategy, Free To Play",,"Mar 30, 2022",['windows']
1847830,Swing the Universe,,False,False,False,"Action, Casual, Indie",,"Feb 24, 2022",['windows']
1847900,Synchronizacja - Visual Novel,,True,False,False,"Adventure, Casual, Free To Play, Indie",20.0,"Jan 21, 2022","['windows', 'mac', 'linux']"
1847440,FREEZEFRAME,,False,False,False,Indie,,"Dec 27, 2021",['windows']
1846340,EEP 17 Rail- / Railway Construction and Train Simulation Game,,False,False,False,Simulation,,"Mar 1, 2022",['windows']
1846510,The First Odyssey,,False,False,False,"Action, Adventure, Indie",6.0,"Jun 14, 2022",['windows']
1846630,花都之恋,,False,False,False,"RPG, Simulation",17.0,"Apr 26, 2022",['windows']
1845780,Shape Boxed,,False,False,False,"Casual, Indie",,"Dec 24, 2021",['windows']
1845670,Islands of the Caliph,,True,False,False,"Action, Adventure, Indie, RPG",15.0,"Sep 29, 2023",['windows']
1844860,Into the Waves,,True,False,False,"Adventure, Casual, Free To Play, Indie",10.0,"Dec 30, 2021","['windows', 'mac', 'linux']"
1844260,My Cute Girls,,True,False,False,"Casual, Indie",40.0,"Jan 6, 2022",['windows']
1844270,Glamor & Girls,,True,False,False,"Casual, Indie",40.0,"Feb 17, 2022",['windows']
1843800,Memory Train,,False,False,False,"Casual, Indie",,"Dec 23, 2021",['windows']
1843050,Rambell,,True,False,False,"Casual, Indie, Free To Play",7.0,"Jun 5, 2024",['windows']
1843270,Reef Rivals,,False,False,False,"Action, Indie, Sports",,"Apr 14, 2022",['windows']
1842360,Hot Milf 3,,True,False,False,"Casual, Indie",10.0,"Jan 6, 2022",['windows']
1842450,Hotdog Quest: One With Everything,,True,False,False,Adventure,10.0,"Mar 4, 2023",['windows']
1841780,It follows you,,False,False,False,"Action, Adventure, Casual, Indie, RPG, Simulation",,"Jan 14, 2022",['windows']
1841810,Speed Master,,False,False,False,"Action, Casual, Racing",18.0,"Oct 6, 2023",['windows']
1840920,SEARCH ALL - FOXES,,False,False,False,"Casual, Indie",10.0,"Dec 20, 2021",['windows']
1841270,Unstrong,,False,False,False,"Action, Adventure, Free To Play, Indie",,"Dec 20, 2021",['windows']
1839070,BARK,,True,False,False,"Action, Adventure, Indie, Strategy",42.0,"Sep 16, 2022",['windows']
1838670,The Paribneur Combination,,True,False,False,"Adventure, Indie, Early Access",4.0,"Dec 24, 2021",['windows']
1838860,79 Pompeii,,False,False,False,"Action, Adventure, Indie, Early Access",7.0,"Apr 7, 2022",['windows']
1837190,Flip TD - Tower Defense,,False,False,True,"Casual, Indie, Strategy, Early Access",,"Jul 30, 2024",['windows']
1837200,YTBB,,False,False,False,"Action, Free To Play, Indie",3.0,"Jan 31, 2022",['windows']
1837210,Rabbit Meadow,,True,False,False,"Casual, Indie, Simulation",10.0,"Mar 1, 2022",['windows']
1837340,Grimgrad,,False,False,False,"Casual, Indie, Simulation, Strategy",,"Apr 5, 2023",['windows']
1836940,Aria and the Secret of the Labyrinth,,False,False,False,RPG,,"May 3, 2022",['windows']
1836180,Turn off the light,,True,False,False,"Action, Adventure, Indie",18.0,"Jan 27, 2022","['windows', 'mac']"
1835870,The Black Cat Magician,,False,False,False,"Adventure, Indie, RPG",10.0,"Jan 21, 2022","['windows', 'mac']"
1835350,道不可道,,False,False,False,"Adventure, Indie, RPG, Simulation",,"Mar 12, 2022",['windows']
1835360,Panacle: Back To Wild,,False,False,False,"Indie, Strategy, Early Access",,"Mar 11, 2022",['windows']
1834750,The Unlikely Prometheus,,False,False,False,Adventure,7.0,"Nov 15, 2023",['windows']
1834950,Salaryman Shi,,True,False,False,"Action, Indie",20.0,"Jun 30, 2022",['windows']
1835020,BornWild • Versus S1 - Prologue,,False,False,False,"Action, Casual, Free To Play, Indie",,"Jun 17, 2022","['windows', 'mac']"
1834290,Toy War - Cannon,,True,False,False,"Action, Adventure, Casual, Indie, Racing, RPG, Simulation, Sports, Strategy",6.0,"Apr 27, 2023","['windows', 'mac', 'linux']"
1834500,做了个魔塔 Just made a MageTower,,True,False,False,"Adventure, Indie, Strategy, Free To Play",5.0,"Dec 25, 2021",['windows']
1833900,Color Slots,,False,False,False,"Casual, Indie",,"Dec 16, 2021",['windows']
1833060,#NAME?,,False,False,False,"Adventure, Indie, Early Access",,"Jul 12, 2024",['windows']
1832560,Late photographer,,False,False,False,"Casual, Indie, Free To Play",5.0,"Dec 10, 2021",['windows']
1831780,HYPERJUSTICE,,False,False,False,"Action, Indie",,"Dec 16, 2021","['windows', 'mac', 'linux']"
1831320,Rescue Team: Power Eaters,,True,False,False,"Adventure, Casual, Indie, Strategy",49.0,"Dec 22, 2021",['windows']
1831400,CBS: Desolation,,True,False,False,"Adventure, Casual, RPG, Simulation, Strategy",9.0,"Feb 19, 2022",['windows']
1831530,PC Creator - PC Building Simulator,,True,False,False,Simulation,20.0,"Dec 14, 2021",['windows']
1831690,World of Bärn,,False,False,False,"Action, Adventure, RPG",,"Dec 9, 2021",['windows']
1830700,ScreenPlay CCG,,True,False,False,"Strategy, Free To Play, Early Access",52.0,"May 13, 2024",['windows']
1829910,Cute Cats 2,,True,False,False,Casual,22.0,"Apr 1, 2022",['windows']
1830050,September 28 Pizza,,True,False,False,"Action, Casual, Indie",21.0,"Dec 20, 2021","['windows', 'linux']"
1830270,Vanildo's Journey,,True,False,False,"Adventure, Casual, Indie, RPG, Free To Play",19.0,"May 9, 2022","['windows', 'mac']"
1829490,Dick Hook,,False,False,False,"Casual, Indie",,"Dec 12, 2021",['windows']
1828740,My Nemesis and Hero - Slice of Life Boys Love (BL) Visual Novel,,False,False,False,"Indie, Simulation",9.0,"Jan 11, 2022","['windows', 'mac', 'linux']"
1828780,Midnight Stories 4,,True,False,False,"Adventure, Casual, Simulation",10.0,"Dec 14, 2021","['windows', 'linux']"
1828080,Legend of Tai gong ,,False,False,False,"Casual, Indie, RPG",100.0,"Jul 18, 2024",['windows']
1827770,Bouncy Bunnies,,False,False,False,"Adventure, Casual, Racing, Free To Play, Early Access",,"Dec 30, 2021",['windows']
1827180,Toram Online,,False,False,False,"Massively Multiplayer, RPG, Free To Play",,"Dec 19, 2021",['windows']
1827430,Yum Yum Cookstar,,False,False,False,"Casual, Simulation",,"Nov 11, 2022",['windows']
1827450,Champion of Venus,,False,False,False,"Adventure, Casual, Indie, Simulation",17.0,"Apr 18, 2023","['windows', 'mac', 'linux']"
1825990,Unidentified,,False,False,False,"Action, Adventure, Indie",,"Dec 8, 2021",['windows']
1825740,Fat Baby,,False,False,False,"Action, Casual, Indie, Early Access",,"Dec 24, 2021",['windows']
1824580,Dungeon Drafters,75.0,True,True,False,"Indie, RPG, Strategy",40.0,"Apr 27, 2023","['windows', 'linux']"
1824130,Outside the Window,,False,False,False,"Casual, Indie, Simulation",8.0,"Sep 14, 2022",['windows']
1824390,Prototype Blocks 2,,True,False,False,"Casual, Indie",6.0,"Dec 2, 2021",['windows']
1823760,Fighting Mad Lads,,False,False,False,"Action, Casual, Indie",,"Jan 19, 2022",['windows']
1822710,Automon,,True,False,False,Strategy,56.0,"Mar 4, 2022",['windows']
1821860,TOUGE RACERS,,False,False,False,"Indie, Racing, Sports",,"Dec 3, 2021",['windows']
1821970,Diaspora,,False,False,False,"Adventure, Indie, Early Access",,"Aug 24, 2023",['windows']
1820910,Labyrinth of death,,False,False,False,Adventure,,"Dec 7, 2021",['windows']
1821060,Find The Sunbed,,True,False,True,"Action, Adventure, Indie",16.0,"Dec 7, 2021",['windows']
1821110,Seasons of the Sorcerer,,True,False,False,"Action, Adventure, Indie",10.0,"Nov 3, 2022","['windows', 'mac']"
1820390,Solitaire Harmony,,False,False,False,"Casual, Strategy",61.0,"Dec 16, 2021",['windows']
1820460,Lands of Rage,,True,False,False,"Action, Indie",21.0,"Aug 2, 2024",['windows']
1819890,Progeria: Vae Victis,,True,False,False,"Adventure, Casual, Indie, RPG",16.0,"Jan 10, 2024",['windows']
1819980,Writer's Life,,True,False,True,"Casual, Simulation",31.0,"Jan 17, 2023",['windows']
1820090,Trisceli特里西利,,False,False,False,"Adventure, Indie",,"Dec 14, 2021",['windows']
1819230,UDONGEIN X,,False,False,False,"Action, Indie",17.0,"Dec 3, 2021",['windows']
1818830,Maze Art: Red,,False,False,False,"Casual, Indie",100.0,"Dec 4, 2021",['windows']
1819020,救公主？救个屁！ Save the princess？Save a fart！,,False,False,False,"Action, Indie, RPG",,"Dec 17, 2021",['windows']
1818610,Karagon (Survival Robot Riding FPS),,True,False,False,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy",4.0,"Apr 17, 2023",['windows']
1818690,Grindstone,,True,False,False,"Casual, Indie, Strategy",49.0,"Jun 20, 2022",['windows']
1817470,An Outcry,,False,False,False,"Adventure, Indie, RPG",,"Jan 5, 2022",['windows']
1817660,Space Attack,,True,False,False,Action,22.0,"Mar 14, 2022",['windows']
1816960,Christmas Wonderland 12,,False,False,False,"Adventure, Casual, Indie",,"Dec 14, 2021",['windows']
1817070,Marvel’s Spider-Man Remastered,,True,False,False,"Action, Adventure, Casual",78.0,"Aug 12, 2022",['windows']
1816900,Aberration,,False,False,False,"Casual, Indie",,"Jan 17, 2022",['windows']
